url,title,startdate,enddate,org,subtitle,subcontents,urlcontents
내역사업 여성장애인 출산비용지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=200807515320306A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,임신과 출산 시 여성장애인에게 출산비용을 지원함으로써  경제적 부담을 경감하고 출산 친화적인 문화 조성,(여성장애인  임신 및 출산  출산비용)태아 1인 기준 1백만원 지원,여성장애인 출산비용지원임신과 출산 시 여성장애인에게 출산비용을 지원함으로써  경제적 부담을 경감하고 출산 친화적인 문화 조성(여성장애인  임신 및 출산  출산비용)태아 1인 기준 1백만원 지원등록 여성장애인 중 출산 및 유산 사산한자
내역사업 고용보험 미적용자 출산급여(고용부),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201901913390301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,고용노동부 2022.01.01 ~ 2022.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분) 출산급여 지급(1인사업자  특고·프리랜서 및 근로자),고용보험 미적용자 출산급여(고용부)고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분) 출산급여 지급(1인사업자  특고·프리랜서 및 근로자)고용보험 미적용 출산여성
내역사업 저출산 극복 지역네트워크 구축사업 지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=200907525370301A0004&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,결혼.출산. 양육 및 가족 친화적 사회분위기 조성,시민·사회·종교·단체 등 인구절벽  저출산 위기 극복을 위한 민간의 협력과 참여 유도,저출산 극복 지역네트워크 구축사업 지원결혼.출산. 양육 및 가족 친화적 사회분위기 조성시민·사회·종교·단체 등 인구절벽  저출산 위기 극복을 위한 민간의 협력과 참여 유도전사회적 저출산 극복 분위기 조성을 위한 민간의 협력과 참여 유도
내역사업 저출산 극복 지역네트워크 구축사업 지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=200907525370301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,결혼.출산. 양육 및 가족 친화적 사회분위기 조성,중앙-지방 간 유기적인 협력망 구축  지자체와 공동 캠페인 추진  지자체별 특성에 맞는 저출산 극복 인식개선 프로그램 지원,저출산 극복 지역네트워크 구축사업 지원결혼.출산. 양육 및 가족 친화적 사회분위기 조성중앙-지방 간 유기적인 협력망 구축  지자체와 공동 캠페인 추진  지자체별 특성에 맞는 저출산 극복 인식개선 프로그램 지원전사회적 저출산 극복 분위기 조성을 위한 지역 내 협의체 구축 및 운영
내역사업 임신출산육아 등 종합정보제공,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201407525350302A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,임신출산육아와 관련하여 사전 예방적이고 자신의 건강을 스스로 관리 할 수 있도록 정보접근 기회 확대 및 건강관리 능력제고,(임신  출산  육아  난임) 아이사랑 사이트(www.childcare.go.kr)를 통한 임신출산육아관련 대상자별(일반  다문화가정  장애인 등) 맞춤 건강정보 제공 및 상담센터 운영,임신출산육아 등 종합정보제공임신출산육아와 관련하여 사전 예방적이고 자신의 건강을 스스로 관리 할 수 있도록 정보접근 기회 확대 및 건강관리 능력제고(임신  출산  육아  난임)아이사랑 사이트(www.childcare.go.kr)를 통한 임신출산육아관련 대상자별(일반  다문화가정  장애인 등) 맞춤 건강정보 제공 및 상담센터 운영가임기 여성 및 임산부
내역사업 고용보험 미적용자 출산급여(제주도),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201901913390301A0002&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,고용노동부 2022.01.01 ~ 2022.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분)의 출산급여 지급(1인사업자  특고·프리랜서 및 근로자),고용보험 미적용자 출산급여(제주도)고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분)의 출산급여 지급(1인사업자  특고·프리랜서 및 근로자)고용보험 미적용 출산여성
내역사업 다문화가족 특성화사업,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=202107623560432D0003&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,여성가족부 2022.01.01 ~ 2022.12.31,○ 다문화가족 지원 - 결혼이민자  중도입국 자녀 등 다문화가족이 한국의 일상생활과 사회생활에 적응할수 있도록 지원,방문교육  언어발달지원  통번역 서비스 등 - 지리적 여건 등으로 센터 이용이 어려운 다문화가족을 대상으로 자녀양육 및 자녀생활 지원  한국어 교육 등 맞춤형 서비스 제공 - 다문화가족 자녀의 언어발달 상태를 평가하고  의사소통에 어려움을 가진 아동에게 언어교육 실시하고  다문화부모를 대상으로 교육 방법을 제공함으로써 아동의 언어발달 촉진 도모 - 한...,다문화가족 특성화사업○ 다문화가족 지원- 결혼이민자  중도입국 자녀 등 다문화가족이 한국의 일상생활과 사회생활에 적응할수 있도록 지원방문교육  언어발달지원  통번역 서비스 등- 지리적 여건 등으로 센터 이용이 어려운 다문화가족을 대상으로 자녀양육 및 자녀생활 지원  한국어 교육 등 맞춤형 서비스 제공- 다문화가족 자녀의 언어발달 상태를 평가하고  의사소통에 어려움을 가진 아동에게 언어교육 실시하고  다문화부모를 대상으로 교육 방법을 제공함으로써 아동의 언어발달 촉진 도모- 한국말이 서툰 결혼이민자의 가족･사회생활에 필요한 의사소통을 지원하기 위한 통･번역서비스 제공- 결혼이민자  중도입국자녀가 한국어를 학습하여 한국의 일상생활과 사회생활에 적응할 수 있도록 지원- 방문한국어서비스: 최초입국 5년이하 결혼이민자  중도입국자녀- 방문부모교육서비스 : 생애주기별 각1회 지원(임신출산영아기  유아기  아동기)- 자녀생활서비스: 만3세~만12세 이하 다문화가족 자녀.중도입국자녀- 언어발달지원사업 : 언어평가 및 언어교육이 필요한 다문화가족 자녀 등(만12세 이하)- 결혼이민자통번역서비스 : 다문화가족 및 다문화가족을 직.간접적으로 지원하는 개인 또는 기
내역사업 해양경찰청보육시설지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201711272310302A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,해양경찰청 2022.01.01 ~ 2022.12.31,다출산 장려정책 부응 및 맞벌이 공무원 「일」과「가정」 양립 지원,(해경보육  해경어린이집  양성평등  미취학아동) 운영비  시설유지보수  물품취득비 등 지원으로 안정적인 보육서비스를 제공  일과 가정이 양립할 수 있는 기반 마련,해양경찰청보육시설지원다출산 장려정책 부응 및 맞벌이 공무원 「일」과「가정」 양립 지원(해경보육  해경어린이집  양성평등  미취학아동) 운영비  시설유지보수  물품취득비 등 지원으로 안정적인 보육서비스를 제공  일과 가정이 양립할 수 있는 기반 마련해양경찰청 운영중인 어린이집 5개소(본청  서해  동해  제주  남해)를 이용할 수 있는 소속직원의 미취학아동(만0~5세)
내역사업 집단상담프로그램운영등(자치단체새일센터),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201801913450359A0002&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,고용노동부 2022.01.01 ~ 2022.12.31,경력단절여성에 대한 맞춤형취업지원서비스를 제공하여 이들의 경제활동 촉진(자치단체 주관),임신  출산  육아 등으로 경력이 단절된 여성에게 여성새로일하기센터를 통해 종합취업지원서비스 제공,집단상담프로그램운영등(자치단체새일센터)경력단절여성에 대한 맞춤형취업지원서비스를 제공하여 이들의 경제활동 촉진(자치단체 주관)임신  출산  육아 등으로 경력이 단절된 여성에게 여성새로일하기센터를 통해 종합취업지원서비스 제공ㅇ지원대상: 여성새로일하기센터 지정기관ㅇ지원조건: 수탁기관은 취업지원대상자(구직자)로부터 일체의 금품을 받아서는 아니됨
내역사업 집단상담프로그램운영등(민간새일센터),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201801913450359A0008&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,고용노동부 2022.01.01 ~ 2022.12.31,경력단절여성 대상 맞춤형취업지원서비스 제공(고용센터 주관),혼인  임신  출산  육아 등으로 경력이 단절된 여성에게 새일센터를 통해 종합적인 취업지원소비스 제공,집단상담프로그램운영등(민간새일센터)경력단절여성 대상 맞춤형취업지원서비스 제공(고용센터 주관)혼인  임신  출산  육아 등으로 경력이 단절된 여성에게 새일센터를 통해 종합적인 취업지원소비스 제공ㅇ지원대상: 여성새로일하기센터 지정 기관ㅇ지원조건: 수탁기관은 취업지원대상자(구직자)로부터 일체의 금품을 받아서는 아니됨
