url,title,startdate,enddate,org,subtitle,subcontents
내역사업 여성장애인 출산비용지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=200807515320306A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,임신과 출산 시 여성장애인에게 출산비용을 지원함으로써  경제적 부담을 경감하고 출산 친화적인 문화 조성,(여성장애인  임신 및 출산  출산비용)태아 1인 기준 1백만원 지원
내역사업 고용보험 미적용자 출산급여(고용부),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201901913390301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,고용노동부 2022.01.01 ~ 2022.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분) 출산급여 지급(1인사업자  특고·프리랜서 및 근로자)
내역사업 저출산 극복 지역네트워크 구축사업 지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=200907525370301A0004&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,결혼.출산. 양육 및 가족 친화적 사회분위기 조성,시민·사회·종교·단체 등 인구절벽  저출산 위기 극복을 위한 민간의 협력과 참여 유도
내역사업 저출산 극복 지역네트워크 구축사업 지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=200907525370301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,결혼.출산. 양육 및 가족 친화적 사회분위기 조성,중앙-지방 간 유기적인 협력망 구축  지자체와 공동 캠페인 추진  지자체별 특성에 맞는 저출산 극복 인식개선 프로그램 지원
내역사업 임신출산육아 등 종합정보제공,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201407525350302A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,임신출산육아와 관련하여 사전 예방적이고 자신의 건강을 스스로 관리 할 수 있도록 정보접근 기회 확대 및 건강관리 능력제고,(임신  출산  육아  난임) 아이사랑 사이트(www.childcare.go.kr)를 통한 임신출산육아관련 대상자별(일반  다문화가정  장애인 등) 맞춤 건강정보 제공 및 상담센터 운영
내역사업 고용보험 미적용자 출산급여(제주도),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201901913390301A0002&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,고용노동부 2022.01.01 ~ 2022.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분)의 출산급여 지급(1인사업자  특고·프리랜서 및 근로자)
내역사업 다문화가족 특성화사업,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=202107623560432D0003&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,여성가족부 2022.01.01 ~ 2022.12.31,○ 다문화가족 지원 - 결혼이민자  중도입국 자녀 등 다문화가족이 한국의 일상생활과 사회생활에 적응할수 있도록 지원,방문교육  언어발달지원  통번역 서비스 등 - 지리적 여건 등으로 센터 이용이 어려운 다문화가족을 대상으로 자녀양육 및 자녀생활 지원  한국어 교육 등 맞춤형 서비스 제공 - 다문화가족 자녀의 언어발달 상태를 평가하고  의사소통에 어려움을 가진 아동에게 언어교육 실시하고  다문화부모를 대상으로 교육 방법을 제공함으로써 아동의 언어발달 촉진 도모 - 한...
내역사업 해양경찰청보육시설지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201711272310302A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,해양경찰청 2022.01.01 ~ 2022.12.31,다출산 장려정책 부응 및 맞벌이 공무원 「일」과「가정」 양립 지원,(해경보육  해경어린이집  양성평등  미취학아동) 운영비  시설유지보수  물품취득비 등 지원으로 안정적인 보육서비스를 제공  일과 가정이 양립할 수 있는 기반 마련
내역사업 집단상담프로그램운영등(자치단체새일센터),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201801913450359A0002&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,고용노동부 2022.01.01 ~ 2022.12.31,경력단절여성에 대한 맞춤형취업지원서비스를 제공하여 이들의 경제활동 촉진(자치단체 주관),임신  출산  육아 등으로 경력이 단절된 여성에게 여성새로일하기센터를 통해 종합취업지원서비스 제공
내역사업 집단상담프로그램운영등(민간새일센터),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201801913450359A0008&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,고용노동부 2022.01.01 ~ 2022.12.31,경력단절여성 대상 맞춤형취업지원서비스 제공(고용센터 주관),혼인  임신  출산  육아 등으로 경력이 단절된 여성에게 새일센터를 통해 종합적인 취업지원소비스 제공
내역사업 학교인구교육 지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201307525330300C0010&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=10&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=2&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,초중고등학생  교사 등 대상 학교인구교육 지원을 통해 결혼  출산  양육 및 가족생활에 대한 합리적인 가치관 형성 지원,인구교육 연구선도학교 운영  대학 인구교육 강좌개설 지원  교사 인구교육 수업경진대회 개최 등
내역사업 인구교육 인프라 확대,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201307525330300C0012&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=10&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=2&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,인구교육 인프라 확산을 통해 결혼  출산  양육 및 가족생활에 대한 합리적 가치관 형성 지원,인구교육 전문인력양성 및 보수교육  인구교육 교재개발 보급  인구교육 홈페이지 관리 등
내역사업 사회인구교육 지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201307525330300C0011&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=10&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=2&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,군장병  지역주민 등 일반국민 대상 사회인구교육을 통해 결혼  출산  양육 및 가족생활에 대한 합리적인 가치관 형성 지원,군 공공기관  직장인  신혼(예비)부부  노인  종교인 등 다양한 계층을 대상으로 찾아가는 인구교육 등 추진
내역사업 고령화 대비 자립지원 지자체 기반구축,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2022&viewDtlbzId=201307525370300C0008&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=10&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=2&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=2376&mainTotalCount=62&detailTotalCount=2314&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2022&selSido=&selSigungu=,2022.01.01 , 2022.12.31,보건복지부 2022.01.01 ~ 2022.12.31,노후준비서비스를 희망하는 전국민을 대상으로 노후준비교육 등을 실시하여 고령사회에 선제적으로 대응,국민의 노후준비 지원을 위하여 재무·건강·여가·대인관계 분야별로 진단  상담  교육 등 서비스 제공
