url,sid1,news_title,news_desc,date
https://n.news.naver.com/mnews/article/001/0013866053?sid=104,104,육아휴직 동료에 수당·축하금 500만원…日기업도 저출산 대책,박상현 특파원 = 일본 정부가 출산율 제고를 위해 저출산 대책을 논의 중인 가운데 기업들도 직원의 출산과 육아를 지원할 다양한 제도를 잇달아 신설하고 있다고 요미우리신문이 7일 보도했다. 보도에 따르면...,3시간 전
https://n.news.naver.com/mnews/article/005/0001599101?sid=104,104,“韓저출산은 남녀갈등 때문…‘반항 상징’ 헤어롤女 많아”,이탈리아 유력 언론이 갈수록 심각해지는 한국의 저출산 문제를 집중 조명하며 원인으로 ‘남녀 갈등’을... 한국의 저출산 현상과 원인을 짚었다. 해당 기사를 작성한 미켈라 만토반 기자는 2021년 한국의 합계출산율...,1일 전
https://n.news.naver.com/mnews/article/009/0005113037?sid=100,100,尹 “저출산에 예비군 정예화…동원부대 무기·장비 대폭 보강”,이날 윤 대통령은 축하메시지를 통해 “저출산으로 인한 병역자원 감소로 현 수준의 상비병력을 유지하기가 점차 어려워지고 있다”면서 “예비전력 정예화를 내실 있게 추진해 나갈 것”이라고 강조했다. 그러면서...,4시간 전
https://n.news.naver.com/mnews/article/082/0001206073?sid=104,104,"""한국 저출산 원인은 남녀갈등"" 이탈리아 언론 집중 조명",이탈리아 유력 언론매체가 갈수록 심각해지는 한국의 저출산 문제를 집중 조명하면서 근본 원인으로... 한국의 저출산 현상과 원인을 짚었다. 기사를 작성한 미켈라 만토반 기자는 2021년 한국의 합계출산율(여성...,1일 전
https://n.news.naver.com/mnews/article/088/0000807484?sid=102,102,"저출산 여파에도 '영어유치원' 44→47곳으로 증가, 10일부터 특별점검 실시","지역 유아 대상 영어 학원은 저출산 여파로 문을 닫는 유치원과 어린이집이 속출하고 있는 것과는 대조적으로 2019년 45곳, 2020~2022년까지는 44곳으로 수를 유지해오다 올해 47곳으로 3곳이 되레 더 늘었다. 시교육청은 지난...",1일 전
https://n.news.naver.com/mnews/article/014/0004993482?sid=102,102,"'임신부터 출산까지'...목포시, 저출산대응 맞춤형 지원","자세한 사항은 목포시보건소 홈페이지 및 모자보건실로 문의하면 된다 목포시 관계자는 ""건강한 출산 및 출산장려 분위기를 조성을 위한 사업을 지속적으로 확대 추진해 극복에 최선을 다하겠다고""라고 말했다.",3시간 전
https://n.news.naver.com/mnews/article/053/0000035519?sid=103,103,"[인터뷰] 최재천 교수 ""대한민국 저출산은 당연한 현상""","""지금 한국에서 애 낳는 사람은 바봅니다. 낳아봐야 먹을 것도 없고 숨을 곳도 없고…. 대한민국의 저출생 현상은 생물학적으로 볼 때 지극히 당연한 진화적 적응이에요."" 최재천 이화여대 석좌교수는 사회적인 영역으로...",8시간 전
https://n.news.naver.com/mnews/article/025/0003271108?sid=104,104,"""한국 저출산 원인은 남녀갈등…여성 헤어롤은 '반항' 상징""","갈수록 심각해지는 한국의 저출산 문제를 이탈리아의 한 유력 언론매체가 집중 조명하면서 근본 원인으로... 한국의 저출산 현상과 원인을 분석했다. 기사를 작성한 미켈라 만토반 기자는 ""2021년 한국의 합계출산율(여성...",1일 전
https://n.news.naver.com/mnews/article/022/0003800087?sid=101,101,[단독] 2024년 저출산 실태파악 위한 새 통계지표 공개된다,저출산 실태 등을 종합적으로 파악할 수 있는 ‘저출산 통계지표 체계’가 내년 일반에 공개된다. 그간 여성 1명이 평생 낳을 것으로 예상되는 평균 출생아 수인 합계출산율만으로는 의 구조적 원인 파악은 물론...,22시간 전
https://n.news.naver.com/mnews/article/119/0002700344?sid=101,101,[지방소멸⑦] 화두는 저출산·일자리·지역활성화…‘국가소멸의 날’ 막으려...,"지방소멸 주요 화두는 저출산, 고령화, 일자리, 지역 활성화 등이다. 통계청이 발표한 2022년 한국의... 저출산과 함께 고령인구도 늘고 있다. 지난해 기준 65세 인구는 전체인구 18.4%를 차지했다. 2040년에는 65세 이상...",8시간 전
https://n.news.naver.com/mnews/article/119/0002700344?sid=101,101,[지방소멸⑦] 화두는 저출산·일자리·지역활성화…‘국가소멸의 날’ 막으려...,"지방소멸 주요 화두는 저출산, 고령화, 일자리, 지역 활성화 등이다. 통계청이 발표한 2022년 한국의... 저출산과 함께 고령인구도 늘고 있다. 지난해 기준 65세 인구는 전체인구 18.4%를 차지했다. 2040년에는 65세 이상...",8시간 전
https://n.news.naver.com/mnews/article/079/0003756463?sid=103,103,"""교단 저출산 극복 정책에 청년 직접 참여해야""",저출산 문제 해결을 위해 교단 차원에서 청년 정책 참여단을 만들자는 제안이 나왔습니다. 총신대학교 손병덕 교수는 오늘(6일) 예장합동총회 다음세대목회부흥운동본부가 개최한 ' 극복을 위한 개혁주의...,21시간 전
https://n.news.naver.com/mnews/article/037/0000032268?sid=101,101,"프랑스보다 심각한 한국 저출산-고령화, 연금개혁 남의 일 아니다",2025년 초고령사회 진입하는 한국 마크롱 대통령이 연금개혁을 강행한 배경에는 저출산-고령화가 있다.... 저출산-고령화가 심각한 한국 역시 연금개혁은 중요한 사회 이슈다. 윤석열 정부는 연금개혁을 대선 공약으로...,2일 전
https://n.news.naver.com/mnews/article/005/0001598873?sid=110,110,[한승주 칼럼] 성평등 인식 없이 저출산 해결 어렵다,지난주 윤석열 대통령이 “저출산 문제는 중요한 국가 어젠다”라며 저출산고령사회위원회 회의를 직접 주재한 건 의미가 크다. 위원회에서 내놓은 ‘저출산·고령사회 정책 과제 및 추진 방향’ 보고서를 찬찬히...,2일 전
https://n.news.naver.com/mnews/article/055/0001048649?sid=104,104,"[뉴스딱] ""저출산 원인은 '남녀 갈등'…헤어롤은 반항의 상징""","""한국의 저출산 주요 원인은 남녀 불평등과 직업 환경에서의 차별""이라고 꼬집었습니다. 이어 ""남녀 갈등이... 한국의 초저출산율에 대해 성평등 문제와 연결지은 것은 이 매체가 처음이 아닌데요. 앞서 한 미국의 시사...",6시간 전
https://n.news.naver.com/mnews/article/081/0003351685?sid=102,102,저출산 시대 히로인… 유공자처럼 모셔요,“임산부를 VIP로 모시겠습니다.” 저출산 극복의 일환으로 임산부만을 위한 특별 시책이 봇물을 이루고 있다. 임산부를 국가유공자처럼 모시겠다는 지방자치단체도 등장했다. 충북도는 농협충북본부와 손잡고 임산부...,1일 전
https://n.news.naver.com/mnews/article/437/0000338259?sid=104,104,"""여성 헤어롤 '반항의 상징'…한국 저출산 남녀갈등 때문"" 해외 언론 조명｜월...",한국의 저출산 문제를 이탈리아의 한 유력 언론매체가 집중 조명했는데요. 그 근본 원인으로 '남녀 갈등'을... 한국의 저출산 원인을 분석했는데요. 남녀 불평등과 직업 환경에서의 차별을 경험한 여성들이 의도적으로...,1일 전
https://n.news.naver.com/mnews/article/031/0000738751?sid=100,100,"한덕수 ""연금개혁, 저출산에도 큰 영향…시급성 인식""","한덕수 국무총리는 정부의 '연금개혁'이 동력을 상실했다는 지적에 연금개혁은 저출산에도 큰 영향을... 이에 한 총리는 ""연금의 합리적인 개혁은 저출산에도 굉장히 영향을 미친다고 판단한다""며 ""결국 국민들이 행복한...",2일 전
https://n.news.naver.com/mnews/article/016/0002126473?sid=102,102,‘한국은 멸종 위기 단계’ 日 인구전문가의 충격 경고 [저출산 0.7의 경고-일...,"일본 내각부 저출산대책검토회 위원을 지낸 아마노 연구원은 저출산대책, 도쿄 일극(一極) 집중 등 여러 인구 문제를 연구해온 전문가다. 그런 그가 “한국도, 일본도 아랍처럼 자원이 나오는 상황이 아닌데 이렇게...",1일 전
https://n.news.naver.com/mnews/article/008/0004871061?sid=105,105,"""구직난·저출산 등 사회문제 해결앱 지원"" 원스토어-중기부 '맞손'",△신규 채용 부재로 인한 구직난 △여성의 경력 단절 등 저출산 문제 △고령층 증가에 따른 시니어 최적화 모바일 서비스 △학교폭력 등 교육 환경 개선 △지구온난화에 따른 환경 문제 등이다. 이전에 앱마켓에 출시되지...,2일 전
https://n.news.naver.com/mnews/article/654/0000036898?sid=102,102,원주 영세 어린이집 줄폐원' 저출산 직격타',"가장 큰 원인으로 저출산에 따른 원아 감소가 지목되고 있다. 원주 통계정보에 따르면 지난 2021년... 박미하 회장은 ""저출산에 따른 어린이집 폐원을 심각한 문제로 받아 들이고 민간의 공립 전환, 환경 개선 지원 등...",10시간 전
